clade_name	Acinetobacter	Aerococcus	Alphabaculovirus	Betabaculovirus	Brevundimonas	Candidatus_Bathyarchaeota_unclassified	Candidatus_Heimdallarchaeota_unclassified	Candidatus_Ruthia	Candidatus_Scalindua	Cutibacterium	Cycloclasticus	Cyprinivirus	Enhydrobacter	Epsilon15virus	Erythrobacter	Gammaproteobacteria_unclassified	Gammaretrovirus	Lentivirus	Limimaricola	Macavirus	Malassezia	Marinobacterium	Methanococcoides	Methanosarcinales_unclassified	Micrococcus	Myoviridae_unclassified	P1virus	Podoviridae_unclassified	Pseudomonas	Rdjlvirus	Retroviridae_unclassified	Rhadinovirus	Siphoviridae_unclassified	Staphylococcus	Stenotrophomonas	Sulfurovum	Thaumarchaeota_unclassified	Thermoplasmatales_unclassified	Varicellovirus	Viruses_unclassified	Weissella
CS01_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33125	0	0	0	0.0091	0	0	0	0	0	0	0	0	0	0.01742	0	0	0
CS01_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33065	0	0	0	0.00793	0	0	0	0	0	0	0	0.00054	0	0.01696	0	0	0
CS01_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30847	0	0	0	0.01036	0	0	0	0	0	0	0	0.00054	0	0.01596	0	0	0
CS03_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254	0	0	0	0.00026	0	0	0.01399	0	0.00035	0	0	0	0	0.01618	0	0	0
CS03_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00508	0	0	0	0.00176	0	0	0	0.00042	0	0	0	0	0	0.03687	0	0	0
CS03_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00579	0	0	0	0.00071	0	0	0	0	0	0	0	0	0	0.03427	0	0	0
CS05_Fast_PCR_0.metaphlan3	0	0	0	0	0	0.0005	0.00036	0	6.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113	0.00421	0	0	0	0.00031	0	0	0	0.00094	0	0.00086	0.00017	0	0
CS05_Fast_PCR_10.metaphlan3	0	0	0	0	0	0.00237	0.00138	0.0001	0.0004	0	0	0.00031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0095	0	0	0	0	0	0	0	0.00362	0	0.0027	0	0	0
CS05_Fast_PCR_1.metaphlan3	0	0	0	0	0	0.00119	0.00087	3.00E-05	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00581	0	0	0	0	0	0	0	0.00204	0	0.0021	0	0	0
CS08_Fast_PCR_0.metaphlan3	0.00564	0	0	0	0	0	0	0	0	0.00103	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162	0	0	0	0	0	0	0	0	0	0	0	0.00255	0	0.00256	0	0	0
CS08_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01208	0	0	0	0.00292	0	0	0	0	0	0	0	0.00886	0	0.0039	0	0	0
CS08_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01097	0	0	0	0.00553	0	0	0	0	0	0	0	0.00849	0	0.00349	0	0	0
CS10_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0.00029	0	0.0012	0.00099	0	0	0	0	0	0	0	0	0.01093	0	0.00021	0.0009	0.00271	0	0.00653	0	0	0.00122	0	0	0.0113	0	0.00874	0	0.00087	0	0.0004	0
CS10_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0.00015	0	0	0.00243	0	0	0.00024	0	0	0	0	0.00126	0	0.00834	0	0	0	0.00056	0	0.00353	0.00067	0	0	0.00206	0.00131	0	0	0.00573	0	0.00058	0	0	0
CS10_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0.00016	0.00011	0	9.00E-05	0	0	0	0.00016	0	0	0	4.00E-05	0	0	0.0134	0	0.00054	0	0	0	0.01056	0.00058	0	0	0	0	0	0	0.00716	0	0.00117	0	0	0
CS12_Fast_PCR_0.metaphlan3	0	0.00357	0	0	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	9.00E-05	0	0	0.02011	0	0	0	0.0093	0	0	0	0.00061	0.00139	0.0002	0	0.00159	6.00E-05	0.05248	0	0	0
