clade_name	Methanococcoides	Brevibacterium	Brachybacterium	Microbacterium	Micrococcus	Rothia	Cutibacterium	GGB24744	Ancylomarina	GGB4172	Planococcus	Staphylococcus	Aerococcus	GGB14689	Weissella	GGB61429	GGB61693	Psychrilyobacter	GGB60958	Candidatus_Scalindua	GGB7899	Methylobacterium	Limimaricola	Sulfitobacter	Erythrobacter	Qipengyuania	Sphingomonas	GGB32784	GGB35257	GGB36212	GGB59279	GGB61142	GGB61267	GGB14824	GGB25799	Desulfobacter	Desulfobacula	Desulfosarcina	Candidatus_Electrothrix	Sulfurovum	Alteromonas	Pseudoalteromonas	Sulfuriflexus	Mixta	Alcanivorax	Marinobacterium	Thalassolituus	Acinetobacter	Moraxella	GGB35701	Pseudomonas	Beggiatoa	Thiomargarita	Stenotrophomonas	Xanthomonas	Oceanispirochaeta	Malassezia
CS01_Fast_PCR_0	0.001139881	0	0	0	0	0	0	0	0	0	0	0	0	0.033065882	0	0	0.00154994	0	0	0	0	0	0	0	0	0	0	0	0.0075859	0	0	0	0	0	0	0	0	0.000146636	0	0	0	0	0	0	0	0	0	0	0	0.000511547	0	0	0	0	0	0	0
CS01_Fast_PCR_10	0.002436364	0	0	0	0	0	0	0	0	0	0	0	0	0.030717007	0	7.42E-05	0.002995678	0	0	0	0	0	0	0	0	0	0	0	0.009637574	0	0	0	0	0	0	0	0	0.000681675	0	0	0	0.000259565	0	0	0	0	0	0	0	0.001131298	0	0	0	0	0	0	0
CS01_Fast_PCR_1	0.001636023	0	0	0	0	0	0	0	0	0	0	0	0	0.027991461	0	3.88E-05	0.00204449	0	0	0	0	0	0	0	0	0	0	0	0.01017247	0	0	0	0	0	0	0	0	0.00050483	0	0	0	0	0	0	0	0	0	0	0	0.001112136	0	0	0	0	0	0	0
CS03_Fast_PCR_0	0.008707607	0	0	0	0	0	0	0	0	0.000144716	0	0	0	0.074081263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034703802	0.000610108	0	0	0.001216927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206859527	0	0	0	0	0	0	0
CS03_Fast_PCR_10	0.013267755	0	0	0	0	0	0	0	0	0.000256931	0	0	0	0.071017707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005967081	0	0	0	0.002104384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228629754	0	0	0	0	0	0	0
CS03_Fast_PCR_1	0.013246872	0	0	0	0	0	0	0	0	7.03E-05	0	0	0	0.079800454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005576491	0	0	0	0.002043391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225083199	0	0	0	0	0	0	0
CS05_Fast_PCR_0	0.015547184	0	0	0	0	0	0	0.003279132	0	0	0	0	0	0	0	0	0	0.003467654	0.009696003	0	0	0	0	0	0	0	0	0	1.048885178	0	0	0	0	0	0.000501308	0	0.003807693	0	0	9.06E-05	0	0	0	0	0	0	0	0	0	0.00013014	0	0	0	0	0	0	0
CS05_Fast_PCR_10	0.022978958	0	0	0	0	0	0	0.00281885	0.000653274	0	0	0	0	0	0	0	0	0.007074062	0.015597211	0	0	0	0	0	0	0	0	0	1.052998063	0	0	0	0	0.000294149	0.002061345	0	0.004975492	0	0	0.000349784	0	0	0	0	0	0	0	0	0	0.001632642	0	0	0	0	0	0.000300917	0
CS05_Fast_PCR_1	0.016961291	0	0	0	0	0	0	0.004278906	0.000166887	0	0	0	0	0	0	0	0	0.004084553	0.010825699	0	0	0	0	0	0	0	0	0	1.06889692	0	0	0	0	0.00023529	0.000898785	0	0.004096585	0	0	0.000225219	0	0	0	0	0	0	0	0	0	0.001009302	0	0	0	0	0	0.000170811	0
CS08_Fast_PCR_0	7.17E-05	0.000283173	0.00049325	0.000994144	0	0.00078387	0.003004967	0	0	0	0	0.000681379	0	0.027579693	0	0	0	0	0.001918915	0	0.005795349	0	0	0	0	0	0	0	0.004189591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004241522	0.001346297	0	0	0	0.000164613	0	0	0	0
