id	type	sample	Extract	Library_Input	Extract_Library_Input	Input	Library	QC	N50	Largest contig	Total length 0	Total length 1000	KMC	annotation_MP3	annotation_MP4	annotation_kraken2	order_kraken2	genus_mp4	nmds1	nmds2	NMDS1	NMDS2	genus_kraken2	duplicate
CS01PCR0	Coldseep	10E	MGI	PCR0	MGIPCR0	0	PCR	0.90579759	912	146733	1976542901	511129654	1911998765	0.35777	3.7312	3.20399285	258	6	0.01172199	-0.31764499	0.68741261	-1.67073348	1998	0.39592
CS01PCR1	Coldseep	10E	MGI	PCR1	MGIPCR1	1	PCR	0.91129148	931	124817	3296088675	880440134	1587223130	0.33533	3.59566	3.14699639	258	7	0.05436985	-0.21923939	0.64476475	-1.76913908	1992	0.118125
CS01PCR10	Coldseep	10E	MGI	PCR10	MGIPCR10	10	PCR	0.9103158	945	125009	3874020705	1061492963	1349831204	0.35608	3.62015	3.14244683	257	8	0.04230174	-0.21281846	0.65683286	-1.77556001	1996	0.0112049
CS03PCR0	Coldseep	12E	MGI	PCR0	MGIPCR0	0	PCR	0.87549568	915	171497	1172555869	297254518	1038602950	0.03331	16.44496	3.5025564	258	7	0.32114765	0.14966691	1.52163025	0.41863343	2005	0.520057
CS03PCR1	Coldseep	12E	MGI	PCR1	MGIPCR1	1	PCR	0.87878314	927	270002	2590380465	676213779	1294988078	0.04077	18.03522	2.9004084	258	6	0.20351413	0.13513967	1.63926377	0.43316067	1995	0.144714
CS03PCR10	Coldseep	12E	MGI	PCR10	MGIPCR10	10	PCR	0.88352493	941	369113	3034568973	819734905	1084028240	0.04413	17.47827	2.79970255	257	6	0.23166766	0.1629797	1.61111024	0.40532064	1991	0.0167059
CS05PCR0	Coldseep	7B	MGI	PCR0	MGIPCR0	0	PCR	0.90667612	811	59070	1974253906	385148094	2646867774	0.00854	1.25015	5.59911625	259	9	-0.00741917	0.01792276	-1.91671483	-0.10607844	2014	0.392742
CS05PCR1	Coldseep	7B	MGI	PCR1	MGIPCR1	1	PCR	0.90660489	821	59086	3481910066	711709239	1975308721	0.01216	1.30789	5.51688619	255	12	0.01974176	-0.01507546	-1.94387576	-0.07308022	2016	0.133225
CS05PCR10	Coldseep	7B	MGI	PCR10	MGIPCR10	10	PCR	0.86555952	840	83699	3994353902	877743138	1450726882	0.02038	1.35365	5.20958744	259	12	0.01148183	0.00573567	-1.93561583	-0.09389135	2009	0.0321309
CS08PCR0	Coldseep	RY-2	MGI	PCR0	MGIPCR0	0	PCR	0.88675787	853	68049	1326493045	297818022	1685646522	0.02798	1.95968	6.21943395	254	13	0.63797804	0.30397735	-0.80114834	0.49174808	2010	0.532178
CS08PCR1	Coldseep	RY-2	MGI	PCR1	MGIPCR1	1	PCR	0.90848632	874	92315	3175986971	753721545	1925563598	0.02881	1.63901	5.74039794	255	8	0.51988363	0.15721002	-0.68305393	0.63851541	1998	0.162647
CS08PCR10	Coldseep	RY-2	MGI	PCR10	MGIPCR10	10	PCR	0.91531762	886	86450	4215371094	1028953842	1443651330	0.02816	1.57345	5.88303872	259	8	0.54289039	0.15042135	-0.70606069	0.64530408	1992	0.0138298
CS10PCR0	Coldseep	YG-1	MGI	PCR0	MGIPCR0	0	PCR	0.90780475	847	172285	2113657787	469972096	2511374378	0.0463	0.69604	5.86047495	258	17	0.01798215	0.02909862	-1.94930235	0.20801535	2028	0.388038
CS10PCR1	Coldseep	YG-1	MGI	PCR1	MGIPCR1	1	PCR	0.91614998	855	256382	3617357169	821411106	2010390908	0.03395	0.61105	5.71732698	259	14	0.03482558	-0.03140617	-1.96614578	0.26852014	2010	0.1356
CS10PCR10	Coldseep	YG-1	MGI	PCR10	MGIPCR10	10	PCR	0.88663088	941	196138	3953108289	1072284064	1422840369	0.02686	0.52698	5.03692247	255	15	-0.37108226	0.51952489	-1.56023794	-0.28241092	2016	0.00855745
CS12PCR0	Coldseep	YG-3	MGI	PCR0	MGIPCR0	0	PCR	0.91751339	905	172261	2112542506	545746181	2247300704	0.08963	5.13763	3.7508172	258	13	0.04814145	0.06776471	1.42857065	0.4076297	2031	0.368715
CS12PCR1	Coldseep	YG-3	MGI	PCR1	MGIPCR1	1	PCR	0.90832891	913	193197	3435543644	906158787	1819256694	0.08951	5.11177	3.63492449	256	9	-0.05076217	0.03903645	1.52747427	0.43635796	2021	0.128337
CS12PCR10	Coldseep	YG-3	MGI	PCR10	MGIPCR10	10	PCR	0.85483784	927	181423	3791131781	1037909779	1456150265	0.09404	5.53866	3.31898504	257	8	-0.10175386	0.02445609	1.57846596	0.45093832	2025	0.0311122
CS25Cov	Coldseep	10E	MB	Cov	MBCov	WGS	Cov	0.95429807	930	102540	3283259426	876877421	1240066137	0.6378	3.72775	3.01567413	257	7	0.02825718	0.13437907	0.67087742	-2.12275754	1996	0.00369553
CS25Enzy	Coldseep	10E	MB	Enzy	MBEnzy	WGS	Enzy	0.93108227	912	158976	2884038106	742511983	1287746152	0.52316	3.8929	3.1064924	259	8	-0.09088557	0.00808447	0.79002017	-1.99646294	1991	0.00773345
CS25PCR0	Coldseep	10E	MB	PCR0	MBPCR0	0	PCR	0.91967472	913	87540	2243824187	573696300	1739330515	0.49174	3.93993	3.08596935	255	6	-0.06849212	0.01989176	0.76762672	-2.00827023	1999	0.293899
CS25PCR1	Coldseep	10E	MB	PCR1	MBPCR1	1	PCR	0.91766658	929	113395	3428349690	900956362	1354038023	0.50439	3.97605	3.04629052	256	8	-0.09982534	0.05557559	0.79895994	-2.04395406	2000	0.0524388
CS25PCR10	Coldseep	10E	MB	PCR10	MBPCR10	10	PCR	0.87600236	928	93677	3291425927	868214685	1168709354	0.56828	4.14068	2.85641011	258	7	-0.1321008	-0.00063877	0.8312354	-1.9877397	1990	0.00715606
CS26Cov	Coldseep	12E	MB	Cov	MBCov	WGS	Cov	0.95306691	961	70931	1817593324	516812317	1200874032	0.05349	18.09634	2.87630488	256	6	-0.11747283	-0.06599385	1.96025073	0.63429419	1997	0.0159696
CS26Enzy	Coldseep	12E	MB	Enzy	MBEnzy	WGS	Enzy	0.91894041	902	159299	2714022828	678411832	1159368451	0.04699	19.69753	2.99431603	257	8	-0.13170623	-0.08331521	1.97448413	0.65161555	1988	0.010746
CS26PCR0	Coldseep	12E	MB	PCR0	MBPCR0	0	PCR	0.87526335	916	109122	1158123804	292138852	1041649669	0.03907	19.81036	3.3241481	258	8	0.01039512	0.00816602	1.83238278	0.56013432	1997	0.541831
CS26PCR1	Coldseep	12E	MB	PCR1	MBPCR1	1	PCR	0.91349496	909	174131	3090815656	771050029	1236608936	0.04389	19.21375	3.03003204	258	7	-0.13719329	-0.08003943	1.97997119	0.64833977	1987	0.051923
CS26PCR10	Coldseep	12E	MB	PCR10	MBPCR10	10	PCR	0.84961621	921	235581	2877293866	741814970	1050376251	0.04794	20.15152	2.72243746	255	8	-0.10827725	-0.06916534	1.95105515	0.63746568	1992	0.0340705
CS28Cov	Coldseep	7B	MB	Cov	MBCov	WGS	Cov	0.95030169	817	74292	4113699061	804285838	1594263730	0.01473	1.23778	4.73051774	261	15	-0.11035322	0.05391119	-1.81378078	-0.14206687	2016	0.0186099
CS28Enzy	Coldseep	7B	MB	Enzy	MBEnzy	WGS	Enzy	0.93585202	788	73172	3603733379	613220778	1482747357	0.01107	1.18129	5.43430467	256	13	0.05831776	-0.05010061	-1.98245176	-0.03805507	2012	0.00837544
CS28PCR0	Coldseep	7B	MB	PCR0	MBPCR0	0	PCR	0.91588341	802	59007	2235718259	420787409	2608588398	0.01086	1.2076	5.50888131	258	10	-0.01989216	0.01612638	-1.90424184	-0.10428206	2013	0.330656
CS28PCR1	Coldseep	7B	MB	PCR1	MBPCR1	1	PCR	0.91974185	812	83699	4049495644	789504528	1722879707	0.01229	1.23388	5.45229186	255	13	0.02447613	-0.01282807	-1.94861013	-0.07532761	2014	0.0626376
CS28PCR10	Coldseep	7B	MB	PCR10	MBPCR10	10	PCR	0.86474875	816	79692	4031038087	799807313	1369299218	0.01689	1.26515	5.05076879	257	14	0.0264584	0.0163969	-1.9505924	-0.10455258	2012	0.0174924
CS31Cov	Coldseep	RY-2	MB	Cov	MBCov	WGS	Cov	0.93242326	859	150371	3833294436	855849254	1396998353	0.04508	2.8922	4.15890848	258	10	-0.36553217	-0.10394883	0.20236187	0.89967426	1999	0.00551578
CS31Enzy	Coldseep	RY-2	MB	Enzy	MBEnzy	WGS	Enzy	0.94236489	844	79810	3323601342	698671486	1401730935	0.03088	2.63746	5.98754905	256	10	-0.12272361	-0.10905017	-0.04044669	0.9047756	1997	0.00590113
CS31PCR0	Coldseep	RY-2	MB	PCR0	MBPCR0	0	PCR	0.9242397	847	85061	2583007421	561021839	2183535163	0.03503	2.67385	5.85343715	257	7	-0.18339236	-0.08792183	0.02022206	0.88364726	2004	0.260303
CS31PCR1	Coldseep	RY-2	MB	PCR1	MBPCR1	1	PCR	0.85830859	885	161676	3306380060	818903346	1574310346	0.03708	2.81807	5.7348127	259	8	-0.27966819	-0.10840712	0.11649789	0.90413255	2000	0.0927019
CS31PCR10	Coldseep	RY-2	MB	PCR10	MBPCR10	10	PCR	0.85498617	865	360812	3820724585	881541661	1280535976	0.04282	3.03609	5.3220393	258	9	-0.48350247	-0.1190808	0.32033217	0.91480623	1995	0.0137019
CS33Cov	Coldseep	YG-1	MB	Cov	MBCov	WGS	Cov	0.94898983	857	172261	3975929040	882681671	1520445288	0.02281	0.54163	5.56151798	257	14	0.03221346	-0.01710887	-1.96353366	0.25422284	2003	0.00764179
CS33Enzy	Coldseep	YG-1	MB	Enzy	MBEnzy	WGS	Enzy	0.92271302	847	172261	3457902465	735765142	1524984185	0.03791	0.648	5.77980573	259	16	0.0434129	-0.09568576	-1.9747331	0.33279973	2010	0.0100843
CS33PCR0	Coldseep	YG-1	MB	PCR0	MBPCR0	0	PCR	0.91276323	854	172261	2379771389	538980279	2438483647	0.04154	0.74617	5.74731083	259	17	-0.01230193	-0.02359415	-1.91901827	0.26070812	2017	0.313073
CS33PCR1	Coldseep	YG-1	MB	PCR1	MBPCR1	1	PCR	0.89626771	851	256382	3947342408	879960767	1618604973	0.03249	0.65414	5.52669581	257	17	0.03298684	-0.07211859	-1.96430704	0.30923256	2014	0.0599267
