clade_name	Thaumarchaeota_unclassified	Dietzia	Cutibacterium	Prochlorococcus	Staphylococcus	Brevundimonas	Aurantimonas	Paracoccus	Enhydrobacter	Croceicoccus	Erythrobacter	Sphingomonas	Acinetobacter	Moraxella	Pseudomonas	Stenotrophomonas	Malassezia	Myoviridae_unclassified	Phikmvvirus	Podoviridae_unclassified	Siphoviridae_unclassified	Cyprinivirus	Macavirus	Rhadinovirus	Retroviridae_unclassified	Corynebacterium	Limimaricola	Delftia	Hk97virus	Varicellovirus	Cupriavidus	Simplexvirus	Bifidobacterium	Bacteroides	Vibrio	Gammaretrovirus	Gemella	Jeotgalicoccus	Fusicatenibacter	Ruminococcus	Pseudorhizobium	Escherichia	Salmonella	Caudovirales_unclassified	Kp15virus	P1virus	Vhmlvirus	Jerseyvirus	Sfi21dt1virus	Sp31virus	T1virus	Yuavirus	Lymphocryptovirus	Lentivirus	Kp34virus
FDZ070-GBkY0-2AP01.metaphlan3	0	0	0	0.00075214	0.019183337	0	5.45E-05	0	0	0.006038241	0.011888802	0	0.035761236	0	0.000728513	0	0	0.002714386	0	0.003823747	0	0	0.000540787	0	0.008040786	0	0	0	0	0	0	0	0	0	0	0.000522969	0	0	0	0	0	0	0	0	0	0	0	0.013737745	0	0	0.00481426	0	0	0	0.005984179
FDZ070-GBkY0-2AP1.metaphlan3	0	0	0	0.004836216	0	0	0.000141257	0	0	0.011653246	0.018363016	0	0.065245425	0	0.001043956	0	0	0.006390167	0	0.006136531	0	0.000750277	0	0.001271589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY0-2MP01.metaphlan3	0	0.002621654	0.00244486	0.000958127	0	0.000381472	0.004837589	0.005527713	0	0.030593299	0.060197056	0	0.091295837	0	0.000189925	0	0	0.028218592	0	0.018427906	0.012475588	0.001368137	0.000706681	0	0	0	0.000235124	0	0	0	0	0	0	0	0	0	0	0.000335148	0	0	0.000754365	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY0-2MP1.metaphlan3	0	0.002942907	0	0.008082017	0	0.000720156	0.003936751	0.005154728	0	0.027766551	0.055866715	0	0.122957144	0	0.001713894	0	0	0.009613274	0	0.016795069	0.005086794	0.001555231	0.000803305	0.001317921	0	0	0.000676734	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000749114	0	0	0	0	0	0	0	0.002137244	0	0	0	0	0	0
FDZ070-GBkY12-14AP01.metaphlan3	0	0	0.011751177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003664345	0.001229968	0	0	0.001574358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000660565	0	0
FDZ070-GBkY12-14AP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128694	4.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000143421	0	0	0
FDZ070-GBkY12-14MP01.metaphlan3	0	0	0.000375939	0	0	0	0	0	5.37E-06	0	0	0	9.14E-05	0.000103875	0	0	0	0.001237758	0	0.000991667	0.002883587	0	0	0	0	0	0	0	0	0	0	0	0.000381603	0	0.001505966	0	0	0	0	0	0	0	0	0	0	0	0.021027413	0	0	0	0	0	0	0	0
FDZ070-GBkY12-14MP1.metaphlan3	0	0	0	0.00019228	0	0	0	0	0	0	0	0	3.96E-05	0	0	0	0	0.00150873	0	0	0	0.000686432	0	0	0.001882783	0	0	0	0	0	0	0	0	0	0.000758972	0	0	0	0	0	0	0	0	0	0	0	0.008249451	0	0	0	0	0	0	0	0
FDZ070-GBkY16-18AP01.metaphlan3	0	0	0.000583658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000905284	0	0	0.000274668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000589476	0	0	0.000175513	0	0
FDZ070-GBkY16-18AP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.37E-05	0	0	0	0
FDZ070-GBkY16-18MP01.metaphlan3	0	0	0.093000588	0	0.000395987	0	0	0	0	0	0	0	0	0	0	0	7.83E-05	0	0	0	0.005136295	0.000386329	0	0	0.006675835	0.000471657	0	0.000613186	0	0	0	0	0	0	0.001173322	0	0.000741788	0	0	0	0	0	0	0	0	0.005063438	0.055698563	0	0	0	0	0	0	0	0
FDZ070-GBkY16-18MP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	5.05E-05	0	0	0	0	0	0	0	0	0.000425443	0	0	0	0	0	0	0	0	0	0	0	0	0.000189336	0	0	0	0	0	0	0	0	0	0	0	0.005618393	0	0	0	0	0	0	0	0
FDZ070-GBkY24-26AP01.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72E-05	0	2.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY24-26AP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY24-26MP01.metaphlan3	0	0	0.000149922	0	0	0	0	0	0	0	0	0	0.000128887	0	0	0	0	0	0	0	0.000345297	0	0.000319287	0.000785737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY24-26MP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY2-4AP01.metaphlan3	0	0	0.003696261	0	0	0	0	0	0.007544613	0	0	0	0	0.003551378	0	0	0	0.004924505	0	0	0.017520273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001308932	0
FDZ070-GBkY2-4AP1.metaphlan3	1.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011473	0	0.000407108	0	0	0	0.000130933	0	0	0	0	0	2.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61E-05	0	0	0	0	0	0	0	0	0	0
