"","FDZ070.GBkY4.6MP1","FDZ070.GBkY4.6MP01","FDZ070.GBkY4.6AP1","FDZ070.GBkY4.6AP01","FDZ070.GBkY28.30MP1","FDZ070.GBkY28.30MP01","FDZ070.GBkY28.30AP1","FDZ070.GBkY28.30AP01","FDZ070.GBkY2.4MP1","FDZ070.GBkY2.4MP01","FDZ070.GBkY2.4AP1","FDZ070.GBkY2.4AP01","FDZ070.GBkY24.26MP1","FDZ070.GBkY24.26MP01","FDZ070.GBkY24.26AP1","FDZ070.GBkY24.26AP01","FDZ070.GBkY16.18MP1","FDZ070.GBkY16.18MP01","FDZ070.GBkY16.18AP1","FDZ070.GBkY16.18AP01","FDZ070.GBkY12.14MP1","FDZ070.GBkY12.14MP01","FDZ070.GBkY12.14AP1","FDZ070.GBkY12.14AP01","FDZ070.GBkY0.2MP1","FDZ070.GBkY0.2MP01","FDZ070.GBkY0.2AP1","FDZ070.GBkY0.2AP01"
"Thermococcus",0,0,0,0,0,0,0,0,0.000447007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrososphaerales_unclassified",0,0,0,0,0,0,0,0,0.000156943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thaumarchaeota_unclassified",13.90921904,9.739587022,6.608499802,6.215981508,1.153479992,0.922145567,0.892745277,0.793941187,11.1365968,8.233871712,9.312032028,6.759116067,10.47642736,7.136298626,9.767226404,7.143475789,11.94756885,8.796095838,9.240358536,6.777910069,12.79682926,8.712201318,8.367553189,6.516942496,10.44930181,7.659260605,8.379864964,7.143879721
"Bifidobacterium",0,0,0,0,0,0,0,0,0,0.000663821,0,0,0,0,0,0,0,0,0,0,0,0.001317952,0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000923694,0,0,0,0,0,0,0,0,0,0.008104599
"Dietzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002989967,0.003588317,0,0
"GGB2722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003814896,0,0,0,0,0,0,0,0,0,0
"Microbacterium",0,0.000702773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutibacterium",0,0,8.81e-05,0.001217792,0,7.17e-05,0,0,0,0.001809931,0,0.005468681,0,0.000213389,0,0,0,0.096155271,0,0.001475344,0,0.001718423,0,0.01403535,0,0.001694572,0,0.000167391
"Streptomyces",0,0.000906888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB32030",0.003538764,0.004354869,0.001082722,0,0.00361586,0.005608051,0.000615474,0.001625436,0.003510198,0.0041999,0.001850284,0.000553088,0.00035358,0.00218073,0,0,0.004813892,0.006013329,0.00069061,0.000182922,0.007577815,0.013077817,0,0,0.065340968,0.088230628,0.015478947,0.013790345
"GGB12146",0.004235714,0.00556922,0.013674748,0.01243956,0,0,0,0,0.003235548,0.004568331,0.003242227,0.003954909,0.000284863,0.000804979,0.001096345,0.001246735,0.002907187,0.003990937,0.003426229,0.003748194,0.005409531,0.007286878,0.006736343,0.009943354,0.013450133,0.018216379,0.015042217,0.014831272
"GGB24744",0.001920097,0.00308626,0.004375959,0.00417666,0,0,0,0,0.004004849,0.005173074,0.005683417,0.008548423,0.000563479,0.001801661,0.000560702,0.001153841,0.00174108,0.002102128,0.001366692,0.002159165,0.00130246,0.00391042,0.001760216,0.002222499,0.008418302,0.012632068,0.006379996,0.008567972
"Bacteroides",0,0,0.000193307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola",0,0,0.000149237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB35517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109241,0,0,0
"GGB36009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128122,0,0,0
"Spirosoma",0.000123709,6.46e-05,0,0,0,0,0,0,0.000440001,3.33e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacteriaceae_unclassified",0.516551451,0.371556518,0.625921432,0.57421672,0.026131911,0.019805114,0.030282727,0.022995111,0.379915563,0.283367575,0.56170494,0.410934037,0.210318666,0.133559757,0.185297937,0.145562389,0.174984626,0.134102306,0.335061951,0.253442845,0.376451229,0.263177292,0.332647312,0.261769162,0.16176303,0.11977352,0.361381308,0.307124503
"Candidatus_Atribacteria_unclassified",0,0,0,0,0.481555054,0.346807914,0.52767256,0.489981684,0,0,0.00040616,0.000127721,0.001877845,0.001289008,0.006490361,0.00534507,0.000304319,0,0.001742169,0.000596634,0,0,0,0,0,0,0,0
"Candidatus_Marinimicrobia_unclassified",2.895210389,2.671141956,2.600757104,2.650781604,0.824483044,0.667108144,0.406204339,0.366204436,2.326899974,2.029456125,4.088396372,3.768338582,1.761491296,1.346877693,5.627992183,4.845786489,1.253055335,1.204349531,1.477899291,1.364998912,1.644952073,1.490161294,2.705654511,2.478718126,2.24393741,2.096052043,3.378662859,3.231882595
"GGB12142",0.023368733,0.025789456,0.052714835,0.054699628,0,0,0,0,0.027036234,0.036235147,0.063432857,0.069119282,0,0.00108863,0.00054504,0.00063559,0.027530074,0.043068772,0.060347894,0.073786844,0.027028284,0.030587302,0.060343331,0.064837481,0.035697539,0.044362417,0.060512013,0.061986713
"Prochlorococcus",0,0,0,0,0,0,0,0,0.000497453,0,0,0,0,0,0,0,0,0,0,0,0,0.000112301,0,0,0.008845826,0.004318974,0.004127719,0.002599547
"Jeotgalicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717484,5.33e-05,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01257205
"Facklamia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52e-05,0,0
"Clostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000776575,0,0,0,0,0,0
"Fusicatenibacter",0,0,0.000171272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB36865",0.000125451,0.000387559,0.000710129,0,0.00179324,0.001319601,0,0,0.001401277,8.7e-05,0.001494894,0,0,0,0,0,0.000766183,0.00012737,0.000443644,0,1.64e-05,0.000131371,0.000171869,0,0.000658143,0,7.11e-05,0
"Ruminococcus",0,0,0.000457728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Planctomycetaceae_unclassified",0,0,0,0,0.012858137,0.020427064,0.007670232,0.010331528,0,0,0.001025272,0.001093958,0,0.000249821,0.000607688,0.000900827,1.62e-05,0,0.001653887,0.00240534,0,0,0,0,0.00025085,0,0.000106063,0
"GGB7899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001121955,0,0,0,0,0,0
"GGB7913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287263,0.00022154,2.5e-05,0
"Candidatus_Pelagibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45e-05,0,0,0
"Pelagibacteraceae_unclassified",0,0,0,0,0,0,0,0,0.000189172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624562,0.001812798,0.001260277,0.000130809
"Aurantimonas",3.48e-05,0.00039531,0,0,0,0,0,0,0.001168665,0.000365209,0,0,0,0,0,0,0.000188516,8.49e-05,0,0,1.64e-05,0.000246851,0,0,0.011996283,0.018529518,0.003699724,0.003671513
"Devosia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234666,3.3e-05,0,0
"Methylobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011454,0,0,0,0,0,0,0,0
"Methylorubrum",0,0.000158899,0,0,0,0,0,0,0.000518472,0.00037595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudorhizobium",0,0.000238995,0,0,0,0,0,0,0.000452612,0.000201939,0,0,0,0,0,0,4.31e-05,0,0,0,0,5.4e-05,0,0,0.010456119,0.013428762,0.002325897,0.001673908
"Rhizobiales_unclassified",0,1.16e-05,0,0,0,0,0,0,0.001191085,0.000235237,0,0,0,0,0,0,8.21e-05,0,0,0,0,0.000744791,0,0,0.003782976,0.004135777,0.000298224,0
"GGB15955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002992665,0.003973882,2.25e-05,0
"Limimaricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004265795,0.0054107,0.000490385,0
"Paracoccus",0,0,0,0.000753184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735256,0,0.000145907,0,0,0,0
"Pseudooceanicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226574,0.000295032,0,0
"Sulfitobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83e-05,0,0,0
"GGB16049",0.005556434,0.012068582,0.026017377,0.02442317,0.006645879,0.012399039,0.038173324,0.045837997,0.033405037,0.043986165,0.022515075,0.032144603,0.002207686,0.003762063,0.011871848,0.012759474,0.001758585,0.002482168,0.00169747,0.002181389,0.001341206,0.003026841,0.003773044,0.005904072,0.034317865,0.051577394,0.049822119,0.060250726
"Croceicoccus",0.00101232,0.002263344,0.000166264,0,0,0,0,0,0.00192115,0.002027982,0,0,0,0.000116236,0,0,0.000491488,0.000532263,0,0,0.000365106,0.000934432,0,0,0.03881428,0.053880137,0.020296699,0.023729592
"Erythrobacter",0.002062972,0.005044724,0.000195311,0,0,0,0,0,0.006340777,0.00418701,0,0,0,2.08e-05,0,0,0.001936329,0.001800788,0,0,0.00201926,0.006331257,0,0,0.10371154,0.137532972,0.039091047,0.048724037
"Qipengyuania",0.00013242,0.000161483,4.61e-05,0,0,0,0,0,0.001168665,0.000435028,0,0,0,0,0,0,0.000293546,0.000660669,0,0,0,0.000525486,0,0,0.039665281,0.058748702,0.014852552,0.017540565
"Citromicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005490373,0.007283143,0.00105439,0.000629656
"Sphingomonas",0.00132769,0.00393243,0,0,0,0,0,0,0.00491708,0.005645697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16e-05,0,0
"Cupriavidus",0.00027181,0.001173011,0,0,0,0,0,0,0.006933518,0.010829512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delftia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000765257,0,0,0,0,0,0,0,0,0,0
"GGB31956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001047905,0,0.000232091,0
"GGB37381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86e-05,0,0,0
