mag	napA	napB	narG	narH	nrfH	nrfA	nirK	octR	norB	norC	nosZ
trench_1	0	0	0	0	0	0	0	0	0	0.010450413	0
trench_2	0	0	0	0	0	0	0	0	0	0	0
trench_3	0	0	0	0	0	0	0.012035143	0	0	0	0
trench_4	0	0	0	0	0	0	0.011690437	0	0	0	0
trench_5	0	0	0.01216397	0.01216397	0	0	0	0	0	0.01216397	0
trench_6	0	0	0	0	0	0	0	0	0	0.010362694	0.010362694
trench_7	0	0	0.024078979	0.024078979	0	0	0	0	0	0	0
coldseep_1	0.012746973	0.012746973	0	0	0	0	0	0.012746973	0	0	0.012746973
coldseep_2	0	0	0	0	0.010937329	0.021874658	0	0	0	0	0
coldseep_3	0	0	0	0	0	0.013460762	0	0.013460762	0	0	0
coldseep_4	0	0	0	0	0	0	0	0	0	0	0
coldseep_5	0	0	0	0	0	0	0	0	0	0	0
water_1	0	0	0	0	0	0	0	0	0	0	0
water_2	0	0	0	0	0	0	0	0	0	0	0
water_3	0	0	0	0	0	0	0	0	0	0	0.010141988
water_4	0	0	0	0	0	0	0	0	0	0.01592864	0
water_5	0	0	0	0	0	0	0	0	0	0	0
water_6	0	0	0	0	0	0	0	0	0	0	0
water_7	0	0	0	0	0	0	0.010547411	0	0	0.010547411	0.010547411
water_8	0	0	0	0	0	0	0	0	0	0	0
water_9	0	0	0	0	0	0	0	0	0	0	0
water_10	0	0	0	0	0	0	0.011205737	0	0.011205737	0	0
