mag	Fermentation_Acetogenesis_acdA	Fermentation_Acetogenesis_ack	Fermentation_Acetogenesis_pta	Fermentation_Acetate to acetyl-CoA_acs	Ethanol fermentation_Acetate => Acetaldehyde_acetate => acetaldehyde	Ethanol fermentation_Acetaldehyde => Ethanol_acetaldehyde => ethanol	Fatty acid degradation_Fatty acid degradation_acyl-CoA dehydrogenase	As cycling_Arsenate reduction for detoxification_arsC (grx)	As cycling_Arsenite methylation_arsM
trench_1	0	0.010450413	0.020900826	0	0	0	0.041801651	0	0
trench_2	0	0	0.01712622	0	0	0	0.051378661	0.03425244	0
trench_3	0	0	0.012035143	0.012035143	0	0	0.036105428	0.012035143	0
trench_4	0	0	0	0.011690437	0	0	0.035071312	0.011690437	0
trench_5	0	0	0.01216397	0.01216397	0	0	0.048655881	0.01216397	0
trench_6	0	0.010362694	0.020725389	0	0	0	0.041450777	0	0
trench_7	0.01203949	0.01203949	0.01203949	0.01203949	0	0	0.048157958	0	0.01203949
coldseep_1	0.025493945	0.025493945	0	0.025493945	0	0	0.05098789	0.012746973	0.012746973
coldseep_2	0	0.010937329	0.010937329	0	0	0	0.010937329	0	0
coldseep_3	0.013460762	0.013460762	0.013460762	0	0	0	0.013460762	0.013460762	0
coldseep_4	0.016869096	0.016869096	0.016869096	0	0	0	0	0	0
coldseep_5	0	0.017038678	0.034077356	0	0	0	0.017038678	0	0.017038678
water_1	0	0	0.01209775	0.01209775	0	0	0.0241955	0.01209775	0
water_2	0	0	0.014070635	0	0	0	0.028141269	0	0
water_3	0	0	0.010141988	0.010141988	0.010141988	0	0.040567951	0.010141988	0
water_4	0	0	0.01592864	0	0	0	0.047785919	0.01592864	0
water_5	0	0.01025641	0.020512821	0.01025641	0.01025641	0.01025641	0.030769231	0.01025641	0
water_6	0	0	0.010415582	0.010415582	0.010415582	0.010415582	0.020831163	0.010415582	0
water_7	0	0	0	0.010547411	0	0.010547411	0.031642232	0.010547411	0.010547411
water_8	0	0	0.010783997	0	0	0	0.043135986	0.010783997	0
water_9	0	0	0	0.010675777	0.010675777	0	0.03202733	0.010675777	0
water_10	0	0	0.011205737	0	0.011205737	0	0.022411475	0.011205737	0
