mag	meer_FDZ070.GBkY24.26AP1.3104	meer_bin.33	meer_metawrap_FDZ070.GBkY0.2AP1_bin.16	meer_metawrap_FDZ070.GBkY16.18AP1_bin.34	meer_metawrap_FDZ070.GBkY24.26AP1_bin.37	meer_metawrap_FDZ070.GBkY28.30AP1_bin.2	meer_metawrap_FDZ070.GBkY28.30AP1_bin.55	meth_CS01_Fast_PCR_1.11265	meth_CS01_Fast_PCR_1.13885	meth_CS01_Fast_PCR_1.9487	meth_CS12_Fast_PCR_1.4954	meth_metawrap_CS01_Fast_PCR_1_bin.2	water_MT07_Fast_enzy_PCR.5468	water_MT07_Fast_enzy_PCR.5600	water_MT08_Fast_enzy_PCR.14590	water_MT08_Fast_enzy_PCR.8250	water_metabat2_MT01_Fast_enzy_PCR_bin.35	water_metawrap_MT05_Fast_enzy_PCR_bin.42	water_metawrap_MT06_Fast_enzy_PCR_bin.43	water_metawrap_MT08_Fast_enzy_PCR_bin.13	water_metawrap_MT08_Fast_enzy_PCR_bin.45	water_metawrap_MT08_Fast_enzy_PCR_bin.9
Complex carbon degradation_Hemicullulose debranching_arabinosidase	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	3	3
Complex carbon degradation_Cellulose degrading_beta-glucosidase	0	0	0	0	0	0	0	1	0	2	1	1	0	1	1	2	0	3	3	0	3	3
Complex carbon degradation_Other oligosaccharide degrading_beta-galactosidase	0	2	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	1	0	3	3
Complex carbon degradation_Chitin degrading_hexosaminidase	0	1	3	2	1	1	1	1	1	3	3	2	1	3	1	3	1	2	3	1	3	3
Fatty acid degradation_Fatty acid degradation_acyl-CoA dehydrogenase	3	3	3	3	3	3	3	3	1	1	0	1	3	3	3	2	2	2	3	3	3	2
Sulfur cycling enzymes (detailed)_Sulfur-related amino acid metabolism | SAMe (S-adenosyl-L-methionine) -> SAH (S-adenosyl-L-homocysteine)_dcm	1	1	1	2	0	3	1	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0
Iron cycling_Iron reduction_Ndh2	0	0	1	1	0	0	0	1	0	0	0	0	2	3	1	2	0	1	3	1	2	1
Sulfur cycling enzymes (detailed)_Metabolism of organic sulfur | Homocysteine -> Methionine_metH	2	1	2	1	2	1	1	1	0	1	1	1	2	2	2	2	0	2	2	1	3	0
Iron cycling_Iron reduction_DmkB	2	2	1	2	1	2	2	3	2	2	1	1	2	2	2	2	2	2	2	2	2	2
Amino acid utilization_Histidinol-phosphate/aromatic aminotransferase_histidinol-phosphate/aromatic aminotransferase	1	1	0	1	0	1	0	0	0	2	1	0	0	0	1	2	0	0	3	0	1	2
Iron cycling_Iron reduction_FmnB	1	2	0	1	1	1	1	1	0	0	0	1	1	1	2	3	1	1	3	1	2	2
Sulfur cycling enzymes (detailed)_Sulfur-related amino acid metabolism | Methionine -> Methanethiol_megL	1	3	2	1	0	2	1	2	1	1	0	0	2	1	3	2	1	1	2	1	3	1
Complex carbon degradation_Endohemicellulases_mannan endo-1,4-beta-mannosidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Iron cycling_Iron reduction_DFE_0461	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Iron cycling_Iron reduction_DFE_0462	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Complex carbon degradation_Other oligosaccharide degrading_beta-xylosidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	3
Complex carbon degradation_Amylolytic enzymes_alpha-amylase	0	0	0	0	0	3	0	2	1	1	1	1	0	0	0	1	0	2	1	0	0	2
As cycling_Arsenate reduction for detoxification_arsC (grx)	2	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1
Amino acid utilization_Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase_branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	2	1	1	1	1	1	1	1	1	1	0	2	1	1	2	1	1	1	0	1	2	1
