clade_name	Prochlorococcus	Brevibacterium	Alcanivorax	Paracoccus	Marinobacter	Myoviridae_unclassified	Thaumarchaeota_unclassified	Acinetobacter	Idiomarina	Alteromonas	Sphingomonadaceae_unclassified	Nitratireductor	Alphaproteobacteria_unclassified	Sphingomonadales_unclassified	Pseudomonas	Rhodococcus	Croceicoccus	Podoviridae_unclassified	Zunongwangia	Salinicola	Ralstonia	Gramella	Halomonas	Siphoviridae_unclassified	Candidatus_Nitrosopelagicus	Bpp1virus	Sphingobium	Achromobacter	Cutibacterium	Stenotrophomonas	Spongiibacter	Sagittula	Brevundimonas	Sphingopyxis	Hyphomonas	Labrenzia	Stappia	Henriciella	Aequorivita	Muricauda	Cyprinivirus	Roseibacillus	Ochrobactrum	Massilia	Dietzia	Synechococcus	Geminicoccus	Bordetella	Rhadinovirus	Viruses_unclassified	Martelella	Methyloceanibacter	Aspergillus	Oceanibaculum	Novosphingobium	Pseudoalteromonas	Roseivivax	Erythrobacter	Thalassospira	Pseudonocardia	Salipiger	Phikmvvirus	Ahrensia	Flavobacterium	Sinimarinibacterium	Marivirga	Roseovarius	Retroviridae_unclassified	Rubinisphaera	Leucobacter	Delftia	Psychrobacter	Epibacterium	Macavirus	Sphingomonas	Moraxella	Tistrella	Gammaproteobacteria_unclassified	Hapunavirus	Pseudacidovorax	Citreicella	Thalassococcus	Bacteria_unclassified	Prasinovirus	Caenispirillum	Enhydrobacter	Limnobacter	Chromohalobacter	Caulobacter	Staphylococcus	Cupriavidus	Comamonas	Devosia	Luz24virus	Rubrivirga	Parvibaculum	Alcaligenes	Inoviridae_unclassified	Ranavirus	Gammaretrovirus	Pelagibaca	Citrobacter	Candidatus_Micropelagos	Candidatus_Parvarchaeota_unclassified	Thermus	Xanthomonadaceae_unclassified	Micrococcus	Hk97virus	Chryseobacterium	Prymnesiovirus	Albimonas	Marinibacterium	Agrobacterium	Aerococcus	Alicycliphilus	Desemzia	Betabaculovirus	Oceanococcus	Epsilon15virus	Candida	Paraphotobacterium	Balneola	Roseivirga	Corynebacterium	Malassezia	Varicellovirus	P2virus	Vhmlvirus	Rhodopirellula	Ssp2virus	Betaretrovirus	Gordonia	Bradyrhizobium	Variovorax	P1virus	Methylobacterium	Robiginitalea	Kocuria	Lutibaculum	Mastadenovirus	Kroppenstedtia	T7virus	Maritimibacter	Cloacibacterium	Salegentibacter	Blastomonas	Macrococcus	Abyssibacter	Lactobacillus	Porticoccus	Vibrio	Leeuwenhoekiella	Pandoraea	Limimaricola	Deltapolyomavirus	Simplexvirus	Exiguobacterium	Phietavirus	Pluralibacter	Aurantimonas	Alphabaculovirus	Silviavirus	Elvirus	Hydrogenophilus	Euryarchaeota_unclassified	Streptococcus	P22virus	Mycolicibacterium	Lentivirus	Bosea	Klebsiella	Pantoea	Candidatus_Berkiella	Alpharetrovirus	Kayvirus	Trichodesmium	Enterobacter	Candidatus_Accumulibacter	Rhodospirillales_unclassified	Enterococcus	Paludisphaera	Photobacterium
MT01_enzy_WGS.metaphlan3	6.232971584	0.000172507	0	0.000755923	0.001141659	0.76318792	0	0.020777897	0	0.002281837	6.74E-05	0	0	0	0	0	0	0.131992658	0	0	0	0	0	0.000880306	0	0	0.000584897	0	0.001395608	0	0	0	0	0	0	0	0	0	0	0	0.010243835	0.066322094	0	0	0	0.058657727	0.064135025	0	0.01469053	0.02182849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001513327	0	0	0	0	0	0.002035292	0.000680405	0.001000988	0	0	0	0	0	0	0	0	0	0.000610069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003023693	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000692991	0	0	0	0.000181392	0	0	0	0	0.000368707	0	0	0	0	0.000180652	0	0.000607848	0	0	0	0	0.000155479	0	0	0	0	0	0	0	0	0	0	0	0	0.000617473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT01_Fast_enzy_PCR.metaphlan3	6.683439031	0.000159359	0	2.35E-05	0.000420404	0.625031938	0	0.019771903	0	0.00136897	0	0	0	0	0	0	0	0.112848963	0	0	0	0	0	0.000316442	0	0	0	0	0.001072259	0	0	0	0	0	0	0	0	0	0	0	0.005249742	0.04264296	0	0	0	0.032334707	0.035894484	0	0.005475121	0.015658922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000775547	0	0	0	0	0	0.001251348	0	0.000679173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0	0	0	0	0.000371838	0	0	0	0	0	0	0.000239797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000456829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT02_enzy_WGS.metaphlan3	6.61033875	0.002886632	0.053714583	0.049229907	0.03231036	2.317798321	0	0.010996925	0.001963144	0.068923823	0.000374862	0.023861325	0.017320766	0.048768164	0.002133003	0	0.004395841	0.34563827	0.00105918	0.002377054	0	0.001508233	0.000801463	0.001631235	0	0	0.00042172	0	0.000863939	0	0.018924668	0.000342647	0	4.59E-05	0.001492614	0	0	0.00163514	0.00035729	0	0.007263925	0.040898993	0	0	0	0.012757994	0.027570896	0	0.007071613	0.035256541	0	0	0	0	0.000233312	0	0.00091275	0.000168883	0	0.000883464	0.000160097	0	0	0	0.001269064	0	0	0	0.000609151	0	0	0	0	0.001436971	0	0	3.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000574007	0	0	0	0	0	0	0	0.000769248	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000611103	0	0	0	0.000707747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042172	0	0	0	0	0	0	0	0	0.000303599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT02_Fast_enzy_PCR.metaphlan3	6.144776358	0.001613316	0.042286473	0.04074847	0.026511731	2.16339369	0.000558944	0.010899408	0.001297549	0.057870667	2.00E-05	0.019917825	0.01783358	0.039536215	0.001134221	0	0.003135894	0.378004033	0.001289382	0.002059745	0	0.001429118	0.000922802	0	0	0	0.000170587	0	0	0	0.015811038	0	0	0	0.000705939	0	0	0.001561595	0.000940042	0	0.003136801	0.029732918	0	0	0	0.010903945	0.021026639	0	0.002362809	0.026248591	0	0	0	0	0.00014518	0	0.000928246	0.000120681	0	0.000725901	0	0	0	0	0.000813009	0	0	0	0.000451874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000401968	0	0	0	0	0	0	0	0.000342988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000960004	0	0	0	0	0.000321211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000396524	0	0	0	0.000321211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT03_enzy_WGS.metaphlan3	0.018755479	0.179671111	0.140096493	0.285231485	0.277515277	0.063755218	0.012139772	0.007311863	0.181998821	0.076661738	0.003468675	0.271043115	0.157780416	0.351700445	0.001380204	0	0.035930501	0.03057213	0.010911086	0.034217133	0.418141346	0.003297959	0.009395018	0.018396915	0.190247853	0.003001125	0.001168433	0	0.009371684	0.001121767	0.017034137	0.013369344	0.000111054	0	0	0	0.000829363	0.013585251	0.001231049	0	0.025852912	0	0.000183121	0	0.003147622	0	0	0	0.009169069	0.00107067	0.000762022	0.002990492	0	0.00521335	0.000560293	0	0.006803258	0.000401686	0	0.003333992	0.004937487	0.003463063	0.004213861	0	0.001413284	0	0.001404128	0	0.000869532	0	0.001288939	0	0.007940679	0.002794375	0	0	0	0	0.008299242	0	0	0.001209783	0	0.007344648	0	0	0	0	0	0	0	0.000126118	0	0	0	0	0	0	0	0	0	0.000891093	0	0	0	0.003709096	0	0	0	0	0	0	0	0	0	0	0	0.001504845	0.001131513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001005396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36E-05
MT03_Fast_enzy_PCR.metaphlan3	0.022539688	0.131287523	0.10048465	0.221038258	0.22772397	0.06520468	0.017317749	0.006419823	0.155078927	0.073985808	0.002059445	0.228454725	0.153902424	0.273222177	0.000257085	0	0.023973777	0.041492012	0.012524201	0.031427221	0.324024831	0.002722532	0.007004678	0.015325468	0.259900309	0.004245671	0.000142378	0	0.008010629	0.001523139	0.012796882	0.009734756	0	0	0	0	0	0.009622062	0.000583597	0	0.0071624	0	0	0	0.000533036	0	0	0	0.004526401	0	0	0.000465117	0	0.003470643	0.000664094	0	0.004460747	0.00053857	0.00117449	0.002400799	0.001726392	0.001545778	0.003133314	0	0.000570517	0	0.000443484	0.001709286	0.000123763	0	0.000149421	0	0.005243321	0.004598093	0	0	0	0	0.005839999	0	0	0.000853763	0	0.010880318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001187319	0	0	0	0	0	0	0	0	0	0	0	0.00054838	0.001832295	0	0	0	0	0	0	0.000416568	0	0	0	0	0	0	0	0	0.004475588	0	0	0	0	0	0	0	0	0	0	0	0	0.000666358	0	0	0.00013458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT04_enzy_WGS.metaphlan3	0.039839087	0.011215995	0.031869684	0.096857132	0.103507548	0.025266502	0.338152072	0.027278914	0.096827922	0.021879834	0.002060407	0.007731601	0.147338557	0.008464117	0.001915771	0	0.006831103	0.006720671	0.006577665	0.00290064	0	0.008655445	0.001982985	0.014923858	0	0	0.001072823	0	0.017776612	0	0	0.00091798	0	0	0	0	0	0.001575139	0.000692557	0.00035616	0.011297543	0	0	0	0	0	0	0	0.000957397	0.001388481	0.001173156	0.000366258	0	0.000282973	4.47E-05	0.000699615	5.44E-05	0	0.00124189	0.002397347	0.000237259	0.001230489	0.001161103	0	0	0	0	0.0021691	0.000673989	0	0	0	0	0.001750613	0	0.000804291	0.000509265	0	0	0	0	0	0.002763496	0	0	0.000421094	0	0	0.001556571	0.005276704	0	0.003868569	0	0	0	0	0	0	0	0.001446574	0	0	0	0	0.000164181	0	0.000497864	0.000699072	0	0	0	0.000926667	0	0	0.001264042	0	0	0	0	0	0	0.000287643	0	0	0.000304908	0	0	0	0	0	0.0005173	0	4.88E-05	0	0	0	0	0	0	0.000590378	0	0	0	0.00070233	0	0	0	0	0	0	0	0	0	0	0.001928475	0	0	0	0	0	0	0	0	3.70E-05	0	0	0.001067828	0	0.000878021	0	0	0	0	0.000675835	0	0.000301541	0	0	0	0	0	0
MT04_Fast_enzy_PCR.metaphlan3	0.031638323	0.012150535	0.033440136	0.096982553	0.109066699	0.027745405	0.325820032	0.021832583	0.098016773	0.023903803	0.002056039	0.007873927	0.15002583	0.009161624	0.002275626	0	0.009584549	0.008856404	0.005337448	0.003279591	0	0.00656966	0.002138571	0.007430476	0	0	0.001756378	0	0.017086439	0	0	0.001165609	0.000113322	0	0	0	0	0.001616116	0.000766952	0.000392456	0.006948325	0	0	0	0	0	0	0	0.001962709	0.004197389	0.00014796	0	0	0	0	0	0.000160361	0	0	0.002088539	8.04E-05	0.003584704	0.000882519	0	0	0	0	0.004446911	0.000710933	0	0	0	0	0.001794437	0	0.000678005	0.000458846	0	0	0	0	0	0.00372486	0	0	0	0	0	0.001344892	0.004375069	0	0.004385974	0	0	0	0	0	0.003582139	0	0	0	0	0	0	0.00023263	0	0	0	0	0	0	0.000862313	0	0	0.000564791	0	0	0	0	0	0	0.000571312	0	0	0	0	0	0	0	0	0.000820085	0	0.000510802	0	0	0	0	0	0	0	0	0	0	0.000358032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001443781	0	3.85E-05	0	0	0	0	0	0	0	0	0	0	0	3.05E-05	0	0	0	0	0	0
MT05_enzy_WGS.metaphlan3	0.020274623	0.029728226	0.260917115	0.672258917	0.286103567	0.023127074	0.556468096	1.984165809	0.622321413	0.157361502	0.004043782	0.387531708	0.223285666	0.481693559	0.000518628	0	0.155280113	0.002440438	0.17609675	0.045654356	0	0.034544446	0.256292113	0.041118773	0	0	0.000843286	0	0.023164905	0	0.005888555	0.00581083	0.008934976	0	0.000326722	0	0.000716724	0.019400384	0.010505991	0.011358906	0.008900584	0	0	0.173388056	0.005742734	0	0	0	0.004420027	0.004219867	0.010312709	0.006441574	0	0.002051812	0.003861505	0.020994098	0.001827577	0.003872511	0	0.016716453	0.003631081	0.004769447	0.003007214	0	0.010778374	0	0.005800512	0	0.01178674	0	0.021506535	0	0	0	0	0.0003336	0.007378405	0	0.002450756	0	0	0.00035905	0	0	0.005515061	0	0	0.00694163	0	0.000638311	0.002714885	0	0.000255875	0	0.001599904	0	0	0	0	0.002225834	0	0.000454659	0	0	0	0	0	0	0	0	0.000353547	0	0	0	0	0.001194081	0	0.001213341	0	0	0	0.000221483	0.001103975	0	0	0.001600592	0.002372343	0	0.002110965	0	0	0	0	0	0	0	0.000741486	0	0.000846037	0	0	0.001265616	0	0	0.001310326	0	0	0	0	0.000482172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000458098	0	0	0	0	0	0	0	0	0	0	0	0
MT05_Fast_enzy_PCR.metaphlan3	0.025325988	0.029127901	0.234984462	0.693328993	0.292244399	0.018576897	0.542257614	1.867430357	0.589172611	0.14559445	0.004237894	0.381577428	0.197422515	0.489667576	0	0	0.170239301	0.015717842	0.161623708	0.048590674	0	0.030924169	0.249589824	0.039376104	0	0	0.000491638	0	0.02286581	0	0.005921523	0.005125758	0.007564733	0	0.000875275	0	0	0.019733108	0.009197343	0.006798123	0.008789853	0	0	0.145948271	0.005709495	0	0	0	0.002979645	0.003688611	0.010884285	0.00599772	0	0.001401367	0.00356537	0.014706075	0.000653971	0.003328827	0	0.013009857	0.003758845	0.006962444	0.003063793	0	0.008532108	0	0.004360472	0	0.010400597	0	0.018343004	0	0	0.001816146	0	0	0.003825766	0	0.005936762	0	0	0	0	0	0.005625347	0	0	0.005737987	0	0	0.003065118	0	0	0.00854801	0.00120723	0	0	0	0	0	0	0.000538682	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001125732	0	0.000460497	0.001103204	0	0	6.10E-05	0.001718746	0	0	0	0	0	0.001665076	0	0	0	0	0	0	0	0.00023588	0	0.000461159	0	0	0	0	0	0.000782513	0	0	0	0	0.000266359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
