file	genome	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	pipeline	completeness	contamination	length	N50	contigs	GC (%)	tag	type
bin.110.fa	bin.110	1_1	0.01	average	ANImf	1	Pipeline4	87.61	0.071	1032982	49416	32	38.81	all	Trench
FDZ070-GBkY12-14AP1@7963.fna	FDZ070_GBkY12_14AP1_7963	1_1	0.01	average	ANImf	1	Pipeline3	86.68	0.07	1014019	49416	29	38.78	all	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.80.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.80	1_1	0.01	average	ANImf	1	Pipeline2	87.62	1.94	1041434	49416	35	38.8	all	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.43.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.43	1_1	0.01	average	ANImf	1	Pipeline1	87.61	0.071	1026558	49416	30	38.81	all	Trench
FDZ070-GBkY12-14AP1@8603.fna	FDZ070_GBkY12_14AP1_8603	10_1	0.01	average	ANImf	10	Pipeline3	91.26	0	1238697	28659	73	33.09	some	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.82.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.82	10_1	0.01	average	ANImf	10	Pipeline2	98.54	0	1526257	23640	116	33.09	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.46.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.46	10_1	0.01	average	ANImf	10	Pipeline1	98.54	0	1526257	23640	116	33.09	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.83.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.83	10_2	0.01	average	ANImf	10	Pipeline2	67.48	0	995296	16412	86	33.19	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.32.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.32	10_2	0.01	average	ANImf	10	Pipeline1	94.66	4.207	1268749	15452	114	33.11	some	Trench
FDZ070-GBkY0-2AP1@5329.fna	FDZ070_GBkY0_2AP1_5329	100_1	0.01	average	ANImf	100	Pipeline3	68.1	0	1562145	16554	117	62.75	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.12.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.12	100_1	0.01	average	ANImf	100	Pipeline1	75.06	2.197	2331564	12148	319	62.66	some	Trench
FDZ070-GBkY4-6AP1@7811.fna	FDZ070_GBkY4_6AP1_7811	100_2	0.01	average	ANImf	100	Pipeline3	52.59	0	887826	10238	102	62.45	uniq	Trench
FDZ070-GBkY0-2AP1@3351.fna	FDZ070_GBkY0_2AP1_3351	101_0	0.01	average	ANImf	101	Pipeline3	74.73	2.2	1995722	20745	120	62.86	uniq	Trench
FDZ070-GBkY4-6AP1@8986.fna	FDZ070_GBkY4_6AP1_8986	102_0	0.01	average	ANImf	102	Pipeline3	91.88	2.2	3124428	31055	144	62.86	uniq	Trench
bin.136.fa	bin.136	103_1	0.01	average	ANImf	103	Pipeline4	81.96	1.092	2665100	86253	44	53.13	all	Trench
FDZ070-GBkY4-6AP1@3747.fna	FDZ070_GBkY4_6AP1_3747	103_1	0.01	average	ANImf	103	Pipeline3	89.07	2.19	2950049	70636	56	52.97	all	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.115.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.115	103_1	0.01	average	ANImf	103	Pipeline2	96.72	2.46	3757810	60722	167	52.68	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.7.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.7	103_1	0.01	average	ANImf	103	Pipeline1	96.72	2.459	3757810	60722	167	52.68	all	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.86.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.86	104_0	0.01	average	ANImf	104	Pipeline1	61.68	2.09	954834	3098	376	54.17	uniq	Trench
FDZ070-GBkY24-26AP1@7661.fna	FDZ070_GBkY24_26AP1_7661	105_1	0.01	average	ANImf	105	Pipeline3	88.4	0.91	2377234	18177	165	53.3	all	Trench
bin.127.fa	bin.127	105_1	0.01	average	ANImf	105	Pipeline4	84.36	0.909	2378496	17928	171	53.21	all	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.132.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.132	105_1	0.01	average	ANImf	105	Pipeline2	89.36	1.82	2610404	17789	215	53.15	all	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.80.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.80	105_1	0.01	average	ANImf	105	Pipeline1	89.36	1.818	2610404	17789	215	53.15	all	Trench
FDZ070-GBkY28-30AP1@2880.fna	FDZ070_GBkY28_30AP1_2880	106_0	0.01	average	ANImf	106	Pipeline3	62.62	0	1471814	8704	198	58.12	uniq	Trench
