mag	nuoA	nuoB	sdhC	petB	atpA	atpD	coxA	coxB	ccoN	ccoO	ccoP	cydA	cydB
trench_1	0	0	0.010450413	0	0.010450413	0.010450413	0	0	0	0	0	0	0
trench_2	0	0	0.01712622	0	0	0	0	0	0	0	0	0	0
trench_3	0.012035143	0.012035143	0.012035143	0	0.012035143	0.012035143	0	0	0.012035143	0.012035143	0.012035143	0	0
trench_4	0.011690437	0.011690437	0.011690437	0	0.011690437	0	0	0	0	0	0	0	0
trench_5	0	0	0	0	0.01216397	0.01216397	0	0	0	0	0	0	0
trench_6	0	0	0.010362694	0	0.010362694	0.010362694	0	0	0.010362694	0.020725389	0.010362694	0	0
trench_7	0	0	0	0	0.01203949	0.01203949	0.01203949	0	0	0	0	0	0
coldseep_1	0	0	0.012746973	0.012746973	0.012746973	0.012746973	0	0	0.012746973	0.012746973	0.012746973	0.012746973	0.012746973
coldseep_2	0	0	0	0	0.010937329	0.010937329	0	0	0	0	0	0.010937329	0.010937329
coldseep_3	0	0	0.013460762	0	0.013460762	0.013460762	0	0	0	0	0.013460762	0.013460762	0.013460762
coldseep_4	0	0	0.016869096	0	0	0	0	0	0	0	0	0	0
coldseep_5	0	0	0	0	0.017038678	0	0	0	0	0	0.017038678	0.017038678	0
water_1	0	0	0.01209775	0	0	0.01209775	0	0	0	0	0	0	0
water_2	0.014070635	0	0.014070635	0	0	0.014070635	0	0	0.028141269	0.028141269	0.014070635	0	0
water_3	0	0	0.010141988	0	0.010141988	0.010141988	0	0	0.010141988	0.010141988	0.010141988	0.010141988	0.010141988
water_4	0	0	0	0	0.01592864	0	0	0	0	0	0	0	0
water_5	0	0	0.020512821	0	0.01025641	0.020512821	0.01025641	0.01025641	0.01025641	0.01025641	0.01025641	0.01025641	0
water_6	0	0	0.010415582	0	0	0.010415582	0	0	0.010415582	0.010415582	0.010415582	0.010415582	0
water_7	0	0	0	0	0.010547411	0.010547411	0	0	0.010547411	0.010547411	0.010547411	0.010547411	0.010547411
water_8	0.010783997	0.010783997	0.010783997	0	0.010783997	0.010783997	0	0	0	0	0	0	0
water_9	0	0	0.010675777	0	0.010675777	0.010675777	0	0	0.010675777	0.010675777	0.010675777	0.010675777	0.010675777
water_10	0	0	0	0	0.011205737	0.011205737	0	0	0.011205737	0.011205737	0.011205737	0.011205737	0.011205737
