m1	m2	ani	group
drep_water_99/dereplicated_genomes/MT08_Fast_enzy_PCR@8250.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.62711442	T-W
drep_meth_99/dereplicated_genomes/CS01_Fast_PCR_1@11265.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.64437558	CS-T
drep_meth_99/dereplicated_genomes/CS01_Fast_PCR_1@13885.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.660881523	CS-T
drep_meth_99/dereplicated_genomes/CS01_Fast_PCR_1@9487.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.649326669	CS-T
drep_meth_99/dereplicated_genomes/CS12_Fast_PCR_1@4954.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.649313079	CS-T
drep_meth_99/dereplicated_genomes/metawrap_CS01_Fast_PCR_1_bin.2.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.64849978	CS-T
drep_meer_99/dereplicated_genomes/bin.33.fasta	drep_meer_99/dereplicated_genomes/metawrap_FDZ070-GBkY0-2AP1_bin.16.fasta	0.634893106	T-T
drep_meer_99/dereplicated_genomes/bin.33.fasta	drep_meer_99/dereplicated_genomes/metawrap_FDZ070-GBkY24-26AP1_bin.37.fasta	0.638135766	T-T
drep_meer_99/dereplicated_genomes/bin.33.fasta	drep_meer_99/dereplicated_genomes/metawrap_FDZ070-GBkY28-30AP1_bin.2.fasta	0.66389758	T-T
drep_meer_99/dereplicated_genomes/bin.33.fasta	drep_meer_99/dereplicated_genomes/metawrap_FDZ070-GBkY28-30AP1_bin.55.fasta	0.649954161	T-T
drep_water_99/dereplicated_genomes/metawrap_MT05_Fast_enzy_PCR_bin.42.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.63066033	T-W
drep_water_99/dereplicated_genomes/metawrap_MT06_Fast_enzy_PCR_bin.43.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.629742711	T-W
drep_water_99/dereplicated_genomes/metawrap_MT08_Fast_enzy_PCR_bin.13.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.636512468	T-W
drep_water_99/dereplicated_genomes/metawrap_MT08_Fast_enzy_PCR_bin.45.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.632570564	T-W
drep_water_99/dereplicated_genomes/metawrap_MT08_Fast_enzy_PCR_bin.9.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.633429813	T-W
drep_water_99/dereplicated_genomes/MT07_Fast_enzy_PCR@5468.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.629612441	T-W
drep_water_99/dereplicated_genomes/MT07_Fast_enzy_PCR@5600.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.633281393	T-W
drep_water_99/dereplicated_genomes/MT08_Fast_enzy_PCR@14590.fasta	drep_meer_99/dereplicated_genomes/bin.33.fasta	0.63182703	T-W
